Action	Command
Insert Citation	⌘ '
Bold	⌘ B
Italic	⌘ I
Underline	⌘ U
Increase Indent	⌘ }
Decrease Indent	⌘ {
Body Text	⌘ 0
Block Quote	"⌘ """
Heading 1	⌘ 1
Heading 2	⌘ 2
Heading 3	⌘ 3
Heading 4	⌘ 4
Heading 5	⌘ 5
Hide Word Count	⇧ ⌘ W
Hide Page Count	⇧ ⌘ P
Zoom In	^ ⌘ +
Zoom Out	^ ⌘ -
